# BEGIN PHI DATASET
#BLOCK HEADER time:0
#x	y	phi	id	pressure

0.05	0.05	-0.0707107	0	0
0.15	0.05	-0.158114	0	0
0.25	0.05	-0.254951	0	0
0.35	0.05	-0.353553	0	0
0.45	0.05	-0.422347	0	0
0.55	0.05	-0.41562	0	0
0.65	0.05	-0.408976	0	0
0.75	0.05	-0.402419	0	0
0.85	0.05	-0.395949	0	0
0.95	0.05	-0.38957	0	0
1.05	0.05	-0.383285	0	0
1.15	0.05	-0.377096	0	0
1.25	0.05	-0.371007	0	0
1.35	0.05	-0.36502	0	0
1.45	0.05	-0.359139	0	0
1.55	0.05	-0.353366	0	0
1.65	0.05	-0.347704	0	0
1.75	0.05	-0.342157	0	0
1.85	0.05	-0.336728	0	0
1.95	0.05	-0.331421	0	0
2.05	0.05	-0.326238	0	0
2.15	0.05	-0.321183	0	0
2.25	0.05	-0.31626	0	0
2.35	0.05	-0.311471	0	0
2.45	0.05	-0.306821	0	0
2.55	0.05	-0.302313	0	0
2.65	0.05	-0.297951	0	0
2.75	0.05	-0.293737	0	0
2.85	0.05	-0.289676	0	0
2.95	0.05	-0.28577	0	0
3.05	0.05	-0.282024	0	0
3.15	0.05	-0.278441	0	0
3.25	0.05	-0.275024	0	0
3.35	0.05	-0.271776	0	0
3.45	0.05	-0.2687	0	0
3.55	0.05	-0.2658	0	0
3.65	0.05	-0.263079	0	0
3.75	0.05	-0.260539	0	0
3.85	0.05	-0.258183	0	0
3.95	0.05	-0.256014	0	0
4.05	0.05	-0.254034	0	0
4.15	0.05	-0.252245	0	0
4.25	0.05	-0.25065	0	0
4.35	0.05	-0.249249	0	0
4.45	0.05	-0.248046	0	0
4.55	0.05	-0.247041	0	0
4.65	0.05	-0.246236	0	0
4.75	0.05	-0.245631	0	0
4.85	0.05	-0.245227	0	0
4.95	0.05	-0.245025	0	0
5.05	0.05	-0.245025	0	0
5.15	0.05	-0.245227	0	0
5.25	0.05	-0.245631	0	0
5.35	0.05	-0.246236	0	0
5.45	0.05	-0.247041	0	0
5.55	0.05	-0.248046	0	0
5.65	0.05	-0.249249	0	0
5.75	0.05	-0.25065	0	0
5.85	0.05	-0.252245	0	0
5.95	0.05	-0.254034	0	0
6.05	0.05	-0.256014	0	0
6.15	0.05	-0.258183	0	0
6.25	0.05	-0.260539	0	0
6.35	0.05	-0.263079	0	0
6.45	0.05	-0.2658	0	0
6.55	0.05	-0.2687	0	0
6.65	0.05	-0.271776	0	0
6.75	0.05	-0.275024	0	0
6.85	0.05	-0.278441	0	0
6.95	0.05	-0.282024	0	0
7.05	0.05	-0.28577	0	0
7.15	0.05	-0.289676	0	0
7.25	0.05	-0.293737	0	0
7.35	0.05	-0.297951	0	0
7.45	0.05	-0.302313	0	0
7.55	0.05	-0.306821	0	0
7.65	0.05	-0.311471	0	0
7.75	0.05	-0.31626	0	0
7.85	0.05	-0.321183	0	0
7.95	0.05	-0.326238	0	0
8.05	0.05	-0.331421	0	0
8.15	0.05	-0.336728	0	0
8.25	0.05	-0.342157	0	0
8.35	0.05	-0.347704	0	0
8.45	0.05	-0.353366	0	0
8.55	0.05	-0.359139	0	0
8.65	0.05	-0.36502	0	0
8.75	0.05	-0.371007	0	0
8.85	0.05	-0.377096	0	0
8.95	0.05	-0.383285	0	0
9.05	0.05	-0.38957	0	0
9.15	0.05	-0.395949	0	0
9.25	0.05	-0.402419	0	0
9.35	0.05	-0.408976	0	0
9.45	0.05	-0.41562	0	0
9.55	0.05	-0.422347	0	0
9.65	0.05	-0.353553	0	0
9.75	0.05	-0.254951	0	0
9.85	0.05	-0.158114	0	0
9.95	0.05	-0.0707108	0	0
0.05	0.15	-0.158114	0	0
0.15	0.15	-0.212132	0	0
0.25	0.15	-0.291548	0	0
0.35	0.15	-0.380789	0	0
0.45	0.15	-0.415019	0	0
0.55	0.15	-0.408217	0	0
0.65	0.15	-0.401498	0	0
0.75	0.15	-0.394864	0	0
0.85	0.15	-0.388318	0	0
0.95	0.15	-0.381862	0	0
1.05	0.15	-0.3755	0	0
1.15	0.15	-0.369233	0	0
1.25	0.15	-0.363066	0	0
1.35	0.15	-0.357001	0	0
1.45	0.15	-0.351041	0	0
1.55	0.15	-0.345189	0	0
1.65	0.15	-0.339449	0	0
1.75	0.15	-0.333824	0	0
1.85	0.15	-0.328317	0	0
1.95	0.15	-0.322931	0	0
2.05	0.15	-0.317671	0	0
2.15	0.15	-0.312539	0	0
2.25	0.15	-0.307539	0	0
2.35	0.15	-0.302675	0	0
2.45	0.15	-0.297951	0	0
2.55	0.15	-0.293369	0	0
2.65	0.15	-0.288934	0	0
2.75	0.15	-0.284649	0	0
2.85	0.15	-0.280519	0	0
2.95	0.15	-0.276545	0	0
3.05	0.15	-0.272733	0	0
3.15	0.15	-0.269086	0	0
3.25	0.15	-0.265606	0	0
3.35	0.15	-0.262299	0	0
3.45	0.15	-0.259166	0	0
3.55	0.15	-0.256211	0	0
3.65	0.15	-0.253438	0	0
3.75	0.15	-0.250849	0	0
3.85	0.15	-0.248448	0	0
3.95	0.15	-0.246236	0	0
4.05	0.15	-0.244217	0	0
4.15	0.15	-0.242392	0	0
4.25	0.15	-0.240765	0	0
4.35	0.15	-0.239336	0	0
4.45	0.15	-0.238109	0	0
4.55	0.15	-0.237083	0	0
4.65	0.15	-0.236261	0	0
4.75	0.15	-0.235644	0	0
4.85	0.15	-0.235232	0	0
4.95	0.15	-0.235026	0	0
5.05	0.15	-0.235026	0	0
5.15	0.15	-0.235232	0	0
5.25	0.15	-0.235644	0	0
5.35	0.15	-0.236261	0	0
5.45	0.15	-0.237083	0	0
5.55	0.15	-0.238109	0	0
5.65	0.15	-0.239336	0	0
5.75	0.15	-0.240765	0	0
5.85	0.15	-0.242392	0	0
5.95	0.15	-0.244217	0	0
6.05	0.15	-0.246236	0	0
6.15	0.15	-0.248448	0	0
6.25	0.15	-0.250849	0	0
6.35	0.15	-0.253438	0	0
6.45	0.15	-0.256211	0	0
6.55	0.15	-0.259166	0	0
6.65	0.15	-0.262299	0	0
6.75	0.15	-0.265606	0	0
6.85	0.15	-0.269086	0	0
6.95	0.15	-0.272733	0	0
7.05	0.15	-0.276545	0	0
7.15	0.15	-0.280519	0	0
7.25	0.15	-0.284649	0	0
7.35	0.15	-0.288934	0	0
7.45	0.15	-0.293369	0	0
7.55	0.15	-0.297951	0	0
7.65	0.15	-0.302675	0	0
7.75	0.15	-0.307539	0	0
7.85	0.15	-0.312539	0	0
7.95	0.15	-0.317671	0	0
8.05	0.15	-0.322931	0	0
8.15	0.15	-0.328317	0	0
8.25	0.15	-0.333824	0	0
8.35	0.15	-0.339449	0	0
8.45	0.15	-0.345189	0	0
8.55	0.15	-0.351041	0	0
8.65	0.15	-0.357001	0	0
8.75	0.15	-0.363066	0	0
8.85	0.15	-0.369233	0	0
8.95	0.15	-0.3755	0	0
9.05	0.15	-0.381862	0	0
9.15	0.15	-0.388318	0	0
9.25	0.15	-0.394864	0	0
9.35	0.15	-0.401498	0	0
9.45	0.15	-0.408217	0	0
9.55	0.15	-0.415019	0	0
9.65	0.15	-0.380788	0	0
9.75	0.15	-0.291548	0	0
