#BLOCK HEADER time:0
#x	y	initial_phi	radius

#BLOCK HEADER time:0.5
#x	y	initial_phi	radius

#BLOCK HEADER time:1
#x	y	initial_phi	radius

#BLOCK HEADER time:1.5
#x	y	initial_phi	radius

#BLOCK HEADER time:0
#x	y	initial_phi	radius

0.846311	0.772958	-0.106413	0.05
0.81628	0.789965	-0.100071	0.05
0.81201	0.79276	-0.0988684	0.05
0.907426	0.752652	-0.108067	0.05
0.845215	0.773462	-0.106295	0.05
0.80138	0.799948	-0.097072	0.05
0.85654	0.770412	-0.10512	0.05
0.816632	0.789781	-0.100113	0.05
0.875147	0.761891	-0.108057	0.05
0.872182	0.764022	-0.106615	0.05
0.890174	0.757524	-0.107999	0.05
0.796117	0.803668	-0.0972871	0.05
0.887695	0.757826	-0.108472	0.05
0.878484	0.763984	-0.104384	0.05
0.85808	0.767921	-0.107494	0.05
0.842264	0.774712	-0.106117	0.05
0.93155	0.746871	-0.106729	0.05
0.926878	0.749956	-0.104767	0.05
0.901025	0.758321	-0.103505	0.05
0.919299	0.749408	-0.107949	0.05
0.939433	0.744923	-0.106259	0.05
0.906115	0.754817	-0.105979	0.05
0.927046	0.74687	-0.108269	0.05
0.950212	0.73975	-0.106725	0.05
1.01498	0.712385	-0.101607	0.05
1.03132	0.705176	-0.101597	0.05
0.991853	0.724393	-0.100458	0.05
0.949093	0.741822	-0.104811	0.05
0.97078	0.734437	-0.100932	0.05
0.994318	0.722917	-0.100802	0.05
1.00439	0.717465	-0.101522	0.05
0.981944	0.728605	-0.101335	0.05
1.03267	0.704604	-0.101596	0.05
1.09505	0.687439	-0.100201	0.05
1.111	0.684938	-0.103309	0.05
1.07765	0.689251	-0.100088	0.05
1.05092	0.698334	-0.100049	0.05
1.03559	0.703685	-0.101163	0.05
1.06863	0.691736	-0.10062	0.05
1.01227	0.71478	-0.100076	0.05
1.09419	0.685103	-0.103466	0.05
1.15008	0.6882	-0.100806	0.05
1.08722	0.686844	-0.10147	0.05
1.14369	0.691105	-0.0964113	0.05
1.09792	0.6857	-0.102445	0.05
1.12541	0.684561	-0.104246	0.05
1.06401	0.693176	-0.100738	0.05
1.02393	0.70948	-0.100028	0.05
1.17161	0.686278	-0.104966	0.05
1.27606	0.680658	-0.102568	0.05
1.19513	0.689895	-0.102371	0.05
1.28915	0.679056	-0.101095	0.05
1.238	0.690472	-0.10049	0.05
1.25371	0.686538	-0.10107	0.05
1.20426	0.690859	-0.101982	0.05
1.26654	0.684457	-0.100106	0.05
1.19147	0.687356	-0.105263	0.05
1.2454	0.687185	-0.102646	0.05
1.29151	0.677619	-0.102465	0.05
1.23462	0.689464	-0.102692	0.05
1.20712	0.691194	-0.101775	0.05
1.26938	0.687381	-0.0953095	0.05
1.19671	0.691738	-0.100179	0.05
1.25865	0.686006	-0.100327	0.05
1.31472	0.678276	-0.0958715	0.05
1.35643	0.67884	-0.0889991	0.0466048
1.43084	0.670246	-0.101792	0.05
1.38668	0.670758	-0.100554	0.05
1.41357	0.67016	-0.101719	0.05
1.32429	0.673677	-0.100411	0.05
1.37759	0.671011	-0.100094	0.05
1.31239	0.675795	-0.100038	0.05
1.44249	0.676435	-0.0925179	0.05
1.32761	0.67282	-0.10093	0.05
1.31335	0.675298	-0.100542	0.05
1.35103	0.671814	-0.100089	0.05
1.30739	0.67653	-0.100128	0.05
1.39684	0.670815	-0.100567	0.05
1.32587	0.672798	-0.101352	0.05
1.30559	0.676617	-0.100419	0.05
1.56844	0.706743	-0.0980517	0.05
1.53011	0.68543	-0.101943	0.05
1.54384	0.705087	-0.0801522	0.05
1.4532	0.677754	-0.0914984	0.05
1.46132	0.671887	-0.101884	0.05
1.58823	0.718295	-0.0990943	0.05
1.57718	0.711671	-0.0985916	0.05
1.58916	0.71855	-0.0995577	0.05
1.50832	0.680016	-0.102159	0.05
1.54627	0.693959	-0.0982464	0.05
