# BEGIN PHI DATASET
#BLOCK HEADER time:0
#x	y	phi	id	pressure

0.05	0.05	-0.0707107	0	0
0.15	0.05	-0.158114	0	0
0.25	0.05	-0.254951	0	0
0.35	0.05	-0.353553	0	0
0.45	0.05	-0.452769	0	0
0.55	0.05	-0.549266	0	0
0.65	0.05	-0.416853	0	0
0.75	0.05	-0.488229	0	0
0.85	0.05	-0.394616	0	0
0.95	0.05	-0.515613	0	0
1.05	0.05	-0.522075	0	0
1.15	0.05	-0.463064	0	0
1.25	0.05	-0.438431	0	0
1.35	0.05	-0.494949	0	0
1.45	0.05	-0.403251	0	0
1.55	0.05	-0.418007	0	0
1.65	0.05	-0.549345	0	0
1.75	0.05	-0.462051	0	0
1.85	0.05	-0.499629	0	0
1.95	0.05	-0.470249	0	0
2.05	0.05	-0.452769	0	0
2.15	0.05	-0.353553	0	0
2.25	0.05	-0.254951	0	0
2.35	0.05	-0.158114	0	0
2.45	0.05	-0.0707106	0	0
0.05	0.15	-0.158114	0	0
0.15	0.15	-0.228854	0	475.655
0.25	0.15	-0.311895	0	475.664
0.35	0.15	-0.402068	0	475.681
0.45	0.15	-0.496724	0	475.706
0.55	0.15	-0.590312	0	475.737
0.65	0.15	-0.518713	0	475.774
0.75	0.15	-0.565097	0	475.813
0.85	0.15	-0.498423	0	475.853
0.95	0.15	-0.580327	0	475.889
1.05	0.15	-0.608847	0	475.92
1.15	0.15	-0.560766	0	475.942
1.25	0.15	-0.539108	0	475.953
1.35	0.15	-0.571345	0	475.952
1.45	0.15	-0.504818	0	475.939
1.55	0.15	-0.517504	0	475.916
1.65	0.15	-0.601448	0	475.886
1.75	0.15	-0.56345	0	475.852
1.85	0.15	-0.591943	0	475.817
1.95	0.15	-0.553813	0	475.784
2.05	0.15	-0.495576	0	475.755
2.15	0.15	-0.401731	0	475.733
2.25	0.15	-0.311814	0	475.717
2.35	0.15	-0.228849	0	475.71
2.45	0.15	-0.158114	0	0
0.05	0.25	-0.254951	0	0
0.15	0.25	-0.311078	0	474.96
0.25	0.25	-0.382414	0	474.969
0.35	0.25	-0.464257	0	474.987
0.45	0.25	-0.553161	0	475.013
0.55	0.25	-0.64065	0	475.047
0.65	0.25	-0.622056	0	475.085
0.75	0.25	-0.65149	0	475.128
0.85	0.25	-0.605256	0	475.17
0.95	0.25	-0.625316	0	475.21
1.05	0.25	-0.599308	0	475.243
1.15	0.25	-0.579607	0	475.267
1.25	0.25	-0.57852	0	475.279
1.35	0.25	-0.565185	0	475.278
1.45	0.25	-0.564121	0	475.264
1.55	0.25	-0.587591	0	475.238
1.65	0.25	-0.624645	0	475.204
1.75	0.25	-0.661497	0	475.167
1.85	0.25	-0.676965	0	475.129
1.95	0.25	-0.625448	0	475.094
2.05	0.25	-0.551232	0	475.064
2.15	0.25	-0.463746	0	475.04
2.25	0.25	-0.382359	0	475.024
2.35	0.25	-0.311122	0	475.016
2.45	0.25	-0.254951	0	0
0.05	0.35	-0.298077	0	0
0.15	0.35	-0.37405	0	474.257
0.25	0.35	-0.447916	0	474.267
0.35	0.35	-0.527221	0	474.286
0.45	0.35	-0.612478	0	474.314
0.55	0.35	-0.690962	0	474.35
0.65	0.35	-0.651687	0	474.393
0.75	0.35	-0.597793	0	474.441
0.85	0.35	-0.551112	0	474.49
0.95	0.35	-0.512654	0	474.537
1.05	0.35	-0.48206	0	474.576
1.15	0.35	-0.459523	0	474.604
1.25	0.35	-0.457572	0	474.618
1.35	0.35	-0.441835	0	474.617
1.45	0.35	-0.441702	0	474.599
1.55	0.35	-0.469278	0	474.568
1.65	0.35	-0.512008	0	474.527
1.75	0.35	-0.565278	0	474.483
1.85	0.35	-0.625069	0	474.439
1.95	0.35	-0.679885	0	474.399
2.05	0.35	-0.613963	0	474.366
2.15	0.35	-0.532843	0	474.34
2.25	0.35	-0.459539	0	474.323
2.35	0.35	-0.398454	0	474.314
2.45	0.35	-0.353553	0	0
0.05	0.45	-0.287996	0	0
0.15	0.45	-0.386484	0	473.544
0.25	0.45	-0.481025	0	473.554
0.35	0.45	-0.572129	0	473.575
0.45	0.45	-0.659318	0	473.606
0.55	0.45	-0.62103	0	473.647
0.65	0.45	-0.55366	0	473.697
0.75	0.45	-0.492408	0	473.754
0.85	0.45	-0.439503	0	473.813
0.95	0.45	-0.39654	0	473.87
1.05	0.45	-0.362676	0	473.919
1.15	0.45	-0.337201	0	473.955
1.25	0.45	-0.335416	0	473.973
1.35	0.45	-0.316265	0	473.972
1.45	0.45	-0.316991	0	473.949
1.55	0.45	-0.349078	0	473.906
1.65	0.45	-0.397467	0	473.853
1.75	0.45	-0.457923	0	473.797
1.85	0.45	-0.52594	0	473.744
1.95	0.45	-0.597218	0	473.698
2.05	0.45	-0.633178	0	473.66
2.15	0.45	-0.543438	0	473.632
2.25	0.45	-0.4396	0	473.613
2.35	0.45	-0.333557	0	473.603
2.45	0.45	-0.230673	0	0
0.05	0.55	-0.276873	0	0
0.15	0.55	-0.365846	0	472.821
0.25	0.55	-0.464548	0	472.832
0.35	0.55	-0.562318	0	472.854
0.45	0.55	-0.608002	0	472.889
0.55	0.55	-0.530483	0	472.935
0.65	0.55	-0.454812	0	472.994
0.75	0.55	-0.385795	0	473.063
0.85	0.55	-0.327085	0	473.138
0.95	0.55	-0.28119	0	473.213
1.05	0.55	-0.244475	0	473.276
1.15	0.55	-0.216053	0	473.323
1.25	0.55	-0.215872	0	473.347
1.35	0.55	-0.19272	0	473.349
1.45	0.55	-0.194325	0	473.318
1.55	0.55	-0.231201	0	473.256
1.65	0.55	-0.285019	0	473.182
1.75	0.55	-0.351673	0	473.109
1.85	0.55	-0.427689	0	473.043
1.95	0.55	-0.507771	0	472.988
2.05	0.55	-0.586289	0	472.945
2.15	0.55	-0.528589	0	472.914
2.25	0.55	-0.43872	0	472.894
2.35	0.55	-0.356255	0	472.884
2.45	0.55	-0.318639	0	0
0.05	0.65	-0.207305	0	0
0.15	0.65	-0.312101	0	472.086
0.25	0.65	-0.42319	0	472.098
0.35	0.65	-0.527004	0	472.122
0.45	0.65	-0.528292	0	472.159
0.55	0.65	-0.441466	0	472.211
0.65	0.65	-0.357022	0	472.281
0.75	0.65	-0.275677	0	472.366
0.85	0.65	-0.218169	0	472.465
0.95	0.65	-0.170436	0	472.565
1.05	0.65	-0.132464	0	472.65
1.15	0.65	-0.101054	0	472.715
1.25	0.65	-0.103564	0	472.743
1.35	0.65	-0.076896	0	472.759
1.45	0.65	-0.079553	0	472.717
1.55	0.65	-0.121022	0	472.617
1.65	0.65	-0.179622	0	472.511
1.75	0.65	-0.251199	0	472.413
1.85	0.65	-0.33331	0	472.331
1.95	0.65	-0.42139	0	472.266
2.05	0.65	-0.50889	0	472.218
2.15	0.65	-0.478834	0	472.185
2.25	0.65	-0.37001	0	472.164
2.35	0.65	-0.255235	0	472.154
2.45	0.65	-0.148006	0	0
0.05	0.75	-0.297826	0	0
0.15	0.75	-0.366015	0	471.341
0.25	0.75	-0.439459	0	471.352
0.35	0.75	-0.509557	0	471.375
0.45	0.75	-0.452165	0	471.414
0.55	0.75	-0.35652	0	471.47
0.65	0.75	-0.255491	0	471.551
