# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

0.05	0.05	0	0
0.15	0.05	0	0
0.25	0.05	0	0
0.35	0.05	0	0
0.45	0.05	0	0
0.55	0.05	0	0
0.65	0.05	0	0
0.75	0.05	0	0
0.85	0.05	0	0
0.95	0.05	0	0
1.05	0.05	0	0
1.15	0.05	0	0
1.25	0.05	0	0
1.35	0.05	0	0
1.45	0.05	0	0
1.55	0.05	0	0
1.65	0.05	0	0
1.75	0.05	0	0
1.85	0.05	0	0
1.95	0.05	0	0
2.05	0.05	0	0
2.15	0.05	0	0
2.25	0.05	0	0
2.35	0.05	0	0
2.45	0.05	0	0
2.55	0.05	0	0
2.65	0.05	0	0
2.75	0.05	0	0
2.85	0.05	0	0
2.95	0.05	0	0
3.05	0.05	0	0
3.15	0.05	0	0
3.25	0.05	0	0
3.35	0.05	0	0
3.45	0.05	0	0
3.55	0.05	0	0
3.65	0.05	0	0
3.75	0.05	0	0
3.85	0.05	0	0
3.95	0.05	0	0
4.05	0.05	0	0
4.15	0.05	0	0
4.25	0.05	0	0
4.35	0.05	0	0
4.45	0.05	0	0
4.55	0.05	0	0
4.65	0.05	0	0
4.75	0.05	0	0
4.85	0.05	0	0
4.95	0.05	0	0
0.05	0.15	0	0
0.15	0.15	-0.0158786	0.0158786
0.25	0.15	-0.0474623	0.0157054
0.35	0.15	-0.0785219	0.0153558
0.45	0.15	-0.1087	0.0148242
0.55	0.15	-0.137628	0.0141038
0.65	0.15	-0.164918	0.0131874
0.75	0.15	-0.190171	0.012066
0.85	0.15	-0.21297	0.0107344
0.95	0.15	-0.232892	0.00918838
1.05	0.15	-0.249509	0.00743038
1.15	0.15	-0.262406	0.00546701
1.25	0.15	-0.271189	0.00331604
1.35	0.15	-0.275505	0.00100145
1.45	0.15	-0.275062	-0.00144275
1.55	0.15	-0.269646	-0.00397209
1.65	0.15	-0.259142	-0.00653151
1.75	0.15	-0.243549	-0.00906041
1.85	0.15	-0.222997	-0.0114899
1.95	0.15	-0.197757	-0.0137494
2.05	0.15	-0.168239	-0.015767
2.15	0.15	-0.134996	-0.0174754
2.25	0.15	-0.0987039	-0.0188149
2.35	0.15	-0.0601508	-0.0197366
2.45	0.15	-0.0202064	-0.0202065
2.55	0.15	0.0202076	-0.0202069
2.65	0.15	0.0601519	-0.0197367
2.75	0.15	0.098705	-0.018815
2.85	0.15	0.134996	-0.0174756
2.95	0.15	0.16824	-0.0157669
3.05	0.15	0.197758	-0.0137492
3.15	0.15	0.222998	-0.0114903
3.25	0.15	0.243549	-0.00906036
3.35	0.15	0.259142	-0.00653141
3.45	0.15	0.269647	-0.00397151
3.55	0.15	0.275063	-0.00144323
3.65	0.15	0.275505	0.00100124
3.75	0.15	0.271189	0.00331654
3.85	0.15	0.262407	0.00546755
3.95	0.15	0.24951	0.00743
4.05	0.15	0.232892	0.00918851
4.15	0.15	0.212971	0.0107343
4.25	0.15	0.190171	0.012066
4.35	0.15	0.164918	0.0131873
4.45	0.15	0.137628	0.0141043
4.55	0.15	0.1087	0.0148239
4.65	0.15	0.0785216	0.0153555
4.75	0.15	0.0474622	0.0157057
4.85	0.15	0.0158788	0.0158784
4.95	0.15	0	0
0.05	0.25	0	0
0.15	0.25	-0.0160518	0.0478094
0.25	0.25	-0.0479851	0.047292
0.35	0.25	-0.0794031	0.0462479
0.45	0.25	-0.109952	0.0446608
0.55	0.25	-0.139265	0.0425084
0.65	0.25	-0.166956	0.0397666
0.75	0.25	-0.192624	0.0364089
0.85	0.25	-0.215848	0.0324165
0.95	0.25	-0.236196	0.0277767
1.05	0.25	-0.253231	0.0224945
1.15	0.25	-0.26652	0.01659
1.25	0.25	-0.275654	0.0101117
1.35	0.25	-0.280264	0.0031324
