# BEGIN PHI DATASET
#BLOCK HEADER time:0
#x	y	phi	id	pressure

0.05	0.05	-0.0707107	0	0
0.15	0.05	-0.158114	0	0
0.25	0.05	-0.254951	0	0
0.35	0.05	-0.353553	0	0
0.45	0.05	-0.452769	0	0
0.55	0.05	-0.552268	0	0
0.65	0.05	-0.538589	0	0
0.75	0.05	-0.502126	0	0
0.85	0.05	-0.57957	0	0
0.95	0.05	-0.484496	0	0
1.05	0.05	-0.575634	0	0
1.15	0.05	-0.471856	0	0
1.25	0.05	-0.550666	0	0
1.35	0.05	-0.500994	0	0
1.45	0.05	-0.527354	0	0
1.55	0.05	-0.575502	0	0
1.65	0.05	-0.396559	0	0
1.75	0.05	-0.415077	0	0
1.85	0.05	-0.46779	0	0
1.95	0.05	-0.410915	0	0
2.05	0.05	-0.569835	0	0
2.15	0.05	-0.567769	0	0
2.25	0.05	-0.587948	0	0
2.35	0.05	-0.495059	0	0
2.45	0.05	-0.580337	0	0
2.55	0.05	-0.424409	0	0
2.65	0.05	-0.497583	0	0
2.75	0.05	-0.445235	0	0
2.85	0.05	-0.518565	0	0
2.95	0.05	-0.41143	0	0
3.05	0.05	-0.487614	0	0
3.15	0.05	-0.43248	0	0
3.25	0.05	-0.45143	0	0
3.35	0.05	-0.517393	0	0
3.45	0.05	-0.522356	0	0
3.55	0.05	-0.530265	0	0
3.65	0.05	-0.533529	0	0
3.75	0.05	-0.460151	0	0
3.85	0.05	-0.593213	0	0
3.95	0.05	-0.589962	0	0
4.05	0.05	-0.496794	0	0
4.15	0.05	-0.450029	0	0
4.25	0.05	-0.557335	0	0
4.35	0.05	-0.465339	0	0
4.45	0.05	-0.44868	0	0
4.55	0.05	-0.561374	0	0
4.65	0.05	-0.556431	0	0
4.75	0.05	-0.430068	0	0
4.85	0.05	-0.479501	0	0
4.95	0.05	-0.54036	0	0
5.05	0.05	-0.421888	0	0
5.15	0.05	-0.524814	0	0
5.25	0.05	-0.534948	0	0
5.35	0.05	-0.483667	0	0
5.45	0.05	-0.4264	0	0
5.55	0.05	-0.5849	0	0
5.65	0.05	-0.53707	0	0
5.75	0.05	-0.553118	0	0
5.85	0.05	-0.570433	0	0
5.95	0.05	-0.482164	0	0
6.05	0.05	-0.41302	0	0
6.15	0.05	-0.543451	0	0
6.25	0.05	-0.433665	0	0
6.35	0.05	-0.496545	0	0
6.45	0.05	-0.543483	0	0
6.55	0.05	-0.570097	0	0
6.65	0.05	-0.531575	0	0
6.75	0.05	-0.419389	0	0
6.85	0.05	-0.448676	0	0
6.95	0.05	-0.552268	0	0
7.05	0.05	-0.404541	0	0
7.15	0.05	-0.353553	0	0
7.25	0.05	-0.254951	0	0
7.35	0.05	-0.158114	0	0
7.45	0.05	-0.0707105	0	0
0.05	0.15	-0.158114	0	0
0.15	0.15	-0.212136	0	-176.115
0.25	0.15	-0.291588	0	-176.115
0.35	0.15	-0.380864	0	-176.115
0.45	0.15	-0.474257	0	-176.115
0.55	0.15	-0.408901	0	-176.114
0.65	0.15	-0.407898	0	-176.114
0.75	0.15	-0.527835	0	-176.114
0.85	0.15	-0.476399	0	-176.114
0.95	0.15	-0.447453	0	-176.114
1.05	0.15	-0.528901	0	-176.113
1.15	0.15	-0.492181	0	-176.113
1.25	0.15	-0.43131	0	-176.113
1.35	0.15	-0.456133	0	-176.112
1.45	0.15	-0.441781	0	-176.112
1.55	0.15	-0.479528	0	-176.111
1.65	0.15	-0.412709	0	-176.111
1.75	0.15	-0.520909	0	-176.111
1.85	0.15	-0.471556	0	-176.11
1.95	0.15	-0.504057	0	-176.11
2.05	0.15	-0.40242	0	-176.109
2.15	0.15	-0.555652	0	-176.109
2.25	0.15	-0.411302	0	-176.108
2.35	0.15	-0.421105	0	-176.108
2.45	0.15	-0.458762	0	-176.107
2.55	0.15	-0.575898	0	-176.107
2.65	0.15	-0.486218	0	-176.106
2.75	0.15	-0.579562	0	-176.106
2.85	0.15	-0.466802	0	-176.105
2.95	0.15	-0.403775	0	-176.105
3.05	0.15	-0.385311	0	-176.104
3.15	0.15	-0.385447	0	-176.104
3.25	0.15	-0.482293	0	-176.103
3.35	0.15	-0.528631	0	-176.103
3.45	0.15	-0.381484	0	-176.102
3.55	0.15	-0.54294	0	-176.102
3.65	0.15	-0.382186	0	-176.102
3.75	0.15	-0.503502	0	-176.101
3.85	0.15	-0.575779	0	-176.101
3.95	0.15	-0.494011	0	-176.1
4.05	0.15	-0.48408	0	-176.1
4.15	0.15	-0.486905	0	-176.1
4.25	0.15	-0.462958	0	-176.099
4.35	0.15	-0.491632	0	-176.099
4.45	0.15	-0.540619	0	-176.099
4.55	0.15	-0.440143	0	-176.099
4.65	0.15	-0.510741	0	-176.098
4.75	0.15	-0.576238	0	-176.098
4.85	0.15	-0.556285	0	-176.098
4.95	0.15	-0.546976	0	-176.098
5.05	0.15	-0.481469	0	-176.098
5.15	0.15	-0.557421	0	-176.098
5.25	0.15	-0.439615	0	-176.098
5.35	0.15	-0.390654	0	-176.098
5.45	0.15	-0.494225	0	-176.097
5.55	0.15	-0.388698	0	-176.097
5.65	0.15	-0.418552	0	-176.097
5.75	0.15	-0.50315	0	-176.097
5.85	0.15	-0.40174	0	-176.097
5.95	0.15	-0.524839	0	-176.097
6.05	0.15	-0.450116	0	-176.097
6.15	0.15	-0.470301	0	-176.097
6.25	0.15	-0.388758	0	-176.097
6.35	0.15	-0.488797	0	-176.097
6.45	0.15	-0.570242	0	-176.097
6.55	0.15	-0.439337	0	-176.097
6.65	0.15	-0.557125	0	-176.097
6.75	0.15	-0.461171	0	-176.097
6.85	0.15	-0.474493	0	-176.097
6.95	0.15	-0.513865	0	-176.098
7.05	0.15	-0.442582	0	-176.098
7.15	0.15	-0.380829	0	-176.098
7.25	0.15	-0.291578	0	-176.098
7.35	0.15	-0.212136	0	-176.098
7.45	0.15	-0.158114	0	0
0.05	0.25	-0.254951	0	0
0.15	0.25	-0.29151	0	-176.801
0.25	0.25	-0.353552	0	-176.801
0.35	0.25	-0.430063	0	-176.801
0.45	0.25	-0.405733	0	-176.801
0.55	0.25	-0.393534	0	-176.8
0.65	0.25	-0.552939	0	-176.8
0.75	0.25	-0.460353	0	-176.8
0.85	0.25	-0.395247	0	-176.8
0.95	0.25	-0.539368	0	-176.8
1.05	0.25	-0.561273	0	-176.799
1.15	0.25	-0.423454	0	-176.799
1.25	0.25	-0.520132	0	-176.799
1.35	0.25	-0.498913	0	-176.798
1.45	0.25	-0.475561	0	-176.798
1.55	0.25	-0.381057	0	-176.797
1.65	0.25	-0.469407	0	-176.797
1.75	0.25	-0.39101	0	-176.797
1.85	0.25	-0.410938	0	-176.796
1.95	0.25	-0.455031	0	-176.796
2.05	0.25	-0.373363	0	-176.795
2.15	0.25	-0.494328	0	-176.795
2.25	0.25	-0.370994	0	-176.794
2.35	0.25	-0.436395	0	-176.794
2.45	0.25	-0.424517	0	-176.793
2.55	0.25	-0.564161	0	-176.793
2.65	0.25	-0.508433	0	-176.792
2.75	0.25	-0.433339	0	-176.792
2.85	0.25	-0.460048	0	-176.791
2.95	0.25	-0.551448	0	-176.791
3.05	0.25	-0.416978	0	-176.79
