# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

0.05	0.05	0	0
0.15	0.05	0	0
0.25	0.05	0	0
0.35	0.05	0	0
0.45	0.05	0	0
0.55	0.05	0	0
0.65	0.05	0	0
0.75	0.05	0	0
0.85	0.05	0	0
0.95	0.05	0	0
1.05	0.05	0	0
1.15	0.05	0	0
1.25	0.05	0	0
1.35	0.05	0	0
1.45	0.05	0	0
1.55	0.05	0	0
1.65	0.05	0	0
1.75	0.05	0	0
1.85	0.05	0	0
1.95	0.05	0	0
2.05	0.05	0	0
2.15	0.05	0	0
2.25	0.05	0	0
2.35	0.05	0	0
2.45	0.05	0	0
2.55	0.05	0	0
2.65	0.05	0	0
2.75	0.05	0	0
2.85	0.05	0	0
2.95	0.05	0	0
3.05	0.05	0	0
3.15	0.05	0	0
3.25	0.05	0	0
3.35	0.05	0	0
3.45	0.05	0	0
3.55	0.05	0	0
3.65	0.05	0	0
3.75	0.05	0	0
3.85	0.05	0	0
3.95	0.05	0	0
4.05	0.05	0	0
4.15	0.05	0	0
4.25	0.05	0	0
4.35	0.05	0	0
4.45	0.05	0	0
4.55	0.05	0	0
4.65	0.05	0	0
4.75	0.05	0	0
4.85	0.05	0	0
4.95	0.05	0	0
5.05	0.05	0	0
5.15	0.05	0	0
5.25	0.05	0	0
5.35	0.05	0	0
5.45	0.05	0	0
5.55	0.05	0	0
5.65	0.05	0	0
5.75	0.05	0	0
5.85	0.05	0	0
5.95	0.05	0	0
6.05	0.05	0	0
6.15	0.05	0	0
6.25	0.05	0	0
6.35	0.05	0	0
6.45	0.05	0	0
6.55	0.05	0	0
6.65	0.05	0	0
6.75	0.05	0	0
6.85	0.05	0	0
6.95	0.05	0	0
7.05	0.05	0	0
7.15	0.05	0	0
7.25	0.05	0	0
7.35	0.05	0	0
7.45	0.05	0	0
0.05	0.15	0	0
0.15	0.15	-0.000103542	9.97335e-05
0.25	0.15	-0.000297001	0.000106528
0.35	0.15	-0.000483649	0.000105157
0.45	0.15	-0.000675746	0.000102431
0.55	0.15	-0.000863756	9.83328e-05
0.65	0.15	-0.00104768	9.42647e-05
0.75	0.15	-0.00121798	9.15527e-05
0.85	0.15	-0.00137738	8.47131e-05
0.95	0.15	-0.00153542	8.06302e-05
1.05	0.15	-0.0016771	7.79033e-05
1.15	0.15	-0.00180653	6.97374e-05
1.25	0.15	-0.00192915	6.42836e-05
1.35	0.15	-0.00203814	5.61029e-05
1.45	0.15	-0.00212669	5.202e-05
1.55	0.15	-0.00220163	4.38094e-05
1.65	0.15	-0.00226974	3.15756e-05
1.75	0.15	-0.00231879	2.88635e-05
1.85	0.15	-0.0023583	1.9297e-05
1.95	0.15	-0.00237874	1.38432e-05
2.05	0.15	-0.0023801	5.66244e-06
2.15	0.15	-0.00237737	2.23517e-07
2.25	0.15	-0.00235558	-3.8445e-06
2.35	0.15	-0.00232015	-1.20252e-05
2.45	0.15	-0.00227247	-1.60933e-05
2.55	0.15	-0.00221252	-2.563e-05
2.65	0.15	-0.00213895	-2.97129e-05
2.75	0.15	-0.00204904	-3.92646e-05
2.85	0.15	-0.00195639	-4.60744e-05
2.95	0.15	-0.00184604	-4.87864e-05
3.05	0.15	-0.00172615	-5.69522e-05
3.15	0.15	-0.00159536	-6.10352e-05
3.25	0.15	-0.00145367	-6.78599e-05
3.35	0.15	-0.00130926	-7.05868e-05
3.45	0.15	-0.00115803	-7.74115e-05
3.55	0.15	-0.000997271	-7.05868e-05
3.65	0.15	-0.000822884	-7.73817e-05
3.75	0.15	-0.00065531	-7.87526e-05
3.85	0.15	-0.000489098	-8.14646e-05
3.95	0.15	-0.000317437	-8.00937e-05
4.05	0.15	-0.000144413	-7.46697e-05
